function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/graceful/signal.go/closeListeners,"""github.com/zenazn/goji/graceful.closeListeners""",6,197,14,1,0,21,11,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/graceful/listener/listener.go/Addr,"""(*github.com/zenazn/goji/graceful/listener.T).Addr""",7,170,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/bench_test.go/WriteHeader,"""(github.com/zenazn/goji/web.nilResponse).WriteHeader""",22,164,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mutil/writer_proxy.go/Unwrap,"""(*github.com/zenazn/goji/web/mutil.basicWriter).Unwrap""",2,139,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/bind/einhorn.go/einhornBind,"""github.com/zenazn/goji/bind.einhornBind""",3,89,11,1,2,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/web/bench_test.go/permuteRequests,"""github.com/zenazn/goji/web.permuteRequests""",22,164,15,1,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/bench_test.go/benchN,"""github.com/zenazn/goji/web.benchN""",22,164,6,2,0,18,12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/realip.go/RealIP,"""github.com/zenazn/goji/web/middleware.RealIP""",15,51,6,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/bytecode_compiler.go/buildTrieSegment,"""github.com/zenazn/goji/web.buildTrieSegment""",22,265,16,2,1,25,10,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/bind/bind.go/Ready,"""github.com/zenazn/goji/bind.Ready""",3,132,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/graceful/listener/shard.go/wait,"""(*github.com/zenazn/goji/graceful/listener.shard).wait""",7,98,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/graceful/listener/listener_test.go/TestDrain,"""github.com/zenazn/goji/graceful/listener.TestDrain""",7,156,9,1,0,17,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/subrouter.go/ServeHTTP,"""(github.com/zenazn/goji/web/middleware.subrouter).ServeHTTP""",15,65,9,2,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mutil/writer_proxy.go/Hijack,"""(*github.com/zenazn/goji/web/mutil.fancyWriter).Hijack""",2,139,6,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default.go/Delete,"""github.com/zenazn/goji.Delete""",3,102,6,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/string_pattern.go/String,"""(github.com/zenazn/goji/web.stringPattern).String""",22,137,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/options.go/addMethod,"""github.com/zenazn/goji/web/middleware.addMethod""",15,97,9,2,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/fake_test.go/Write,"""(*github.com/zenazn/goji/graceful/listener.fakeConn).Write""",7,123,5,1,2,7,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/signal.go/sigLoop,"""github.com/zenazn/goji/graceful.sigLoop""",6,197,7,0,0,17,8,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/graceful/listener/listener_test.go/TestBasicCloseIdle,"""github.com/zenazn/goji/graceful/listener.TestBasicCloseIdle""",7,156,18,1,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mux.go/Use,"""(*github.com/zenazn/goji/web.Mux).Use""",22,213,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/regexp_pattern.go/Run,"""(github.com/zenazn/goji/web.regexpPattern).Run""",22,149,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/match_test.go/TestRawHandler,"""github.com/zenazn/goji/web.TestRawHandler""",22,50,14,1,0,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/signal.go/Timeout,"""github.com/zenazn/goji/graceful.Timeout""",6,197,7,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/graceful/listener/conn_test.go/TestReadFrom,"""github.com/zenazn/goji/graceful/listener.TestReadFrom""",7,198,12,1,0,27,13,0,0,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mux.go/Router,"""(*github.com/zenazn/goji/web.Mux).Router""",22,213,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/router.go/route,"""(*github.com/zenazn/goji/web.router).route""",22,154,5,3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/router_test.go/Run,"""(github.com/zenazn/goji/web.rsPattern).Run""",22,326,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/router_test.go/TestPrefix,"""github.com/zenazn/goji/web.TestPrefix""",22,326,10,1,0,20,10,0,0,1,1,2,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serve.go/ServeListener,"""github.com/zenazn/goji.ServeListener""",3,62,13,1,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/match.go/RawPattern,"""(github.com/zenazn/goji/web.Match).RawPattern""",22,66,10,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mux.go/Abandon,"""(*github.com/zenazn/goji/web.Mux).Abandon""",22,213,7,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/bench_test.go/trivialMiddleware,"""github.com/zenazn/goji/web.trivialMiddleware""",22,164,17,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/func_equal_test.go/String,"""(*github.com/zenazn/goji/web.Type).String""",22,84,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/pattern_test.go/TestPatterns,"""github.com/zenazn/goji/web.TestPatterns""",22,188,12,1,0,14,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/recoverer.go/Recoverer,"""github.com/zenazn/goji/web/middleware.Recoverer""",15,44,9,2,1,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/urlquery.go/URLQuery,"""github.com/zenazn/goji/web/middleware.URLQuery""",15,24,8,2,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/signal.go/ShutdownNow,"""github.com/zenazn/goji/graceful.ShutdownNow""",6,197,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/atomic.go/getMachine,"""(*github.com/zenazn/goji/web.router).getMachine""",22,16,10,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
/web/bytecode_compiler.go/encode,"""(github.com/zenazn/goji/web.trie).encode""",22,265,6,1,1,45,18,5,2,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/router.go/compile,"""(*github.com/zenazn/goji/web.router).compile""",22,154,7,0,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/web/bench_test.go/randString,"""github.com/zenazn/goji/web.randString""",22,164,10,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/fake_test.go/Read,"""(*github.com/zenazn/goji/graceful/listener.fakeConn).Read""",7,123,4,1,2,7,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/conn.go/markIdle,"""(*github.com/zenazn/goji/graceful/listener.conn).markIdle""",7,151,8,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
/graceful/listener/fake_test.go/SetReadDeadline,"""(*github.com/zenazn/goji/graceful/listener.fakeConn).SetReadDeadline""",7,123,15,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/fake_test.go/Closed,"""(*github.com/zenazn/goji/graceful/listener.fakeConn).Closed""",7,123,6,0,1,7,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware.go/release,"""(*github.com/zenazn/goji/web.mStack).release""",22,154,7,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mux.go/Get,"""(*github.com/zenazn/goji/web.Mux).Get""",22,213,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mux.go/NotFound,"""(*github.com/zenazn/goji/web.Mux).NotFound""",22,213,8,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/func_equal_test.go/mkFn,"""github.com/zenazn/goji/web.mkFn""",22,84,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serve.go/Serve,"""github.com/zenazn/goji.Serve""",3,62,5,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mutil/writer_proxy.go/Flush,"""(*github.com/zenazn/goji/web/mutil.flushWriter).Flush""",2,139,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mux.go/Handle,"""(*github.com/zenazn/goji/web.Mux).Handle""",22,213,6,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/string_pattern.go/Match,"""(github.com/zenazn/goji/web.stringPattern).Match""",22,137,5,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/bench_test.go/BenchmarkRoute500,"""github.com/zenazn/goji/web.BenchmarkRoute500""",22,164,17,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mutil/writer_proxy.go/Tee,"""(*github.com/zenazn/goji/web/mutil.basicWriter).Tee""",2,139,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/conn.go/SetReadDeadline,"""(*github.com/zenazn/goji/graceful/listener.conn).SetReadDeadline""",7,151,15,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/graceful/listener/conn_test.go/ReadFrom,"""(*github.com/zenazn/goji/graceful/listener.readerConn).ReadFrom""",7,198,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/bind/einhorn.go/usingEinhorn,"""github.com/zenazn/goji/bind.usingEinhorn""",3,89,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/func_equal.go/funcEqual,"""github.com/zenazn/goji/web.funcEqual""",22,32,9,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/bench_test.go/BenchmarkMiddleware10,"""github.com/zenazn/goji/web.BenchmarkMiddleware10""",22,164,21,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/match_test.go/ServeHTTP,"""(github.com/zenazn/goji/web.httpHandlerOnly).ServeHTTP""",22,50,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/urlquery_test.go/TestURLQuery,"""github.com/zenazn/goji/web/middleware.TestURLQuery""",15,53,12,1,0,27,5,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/signal.go/shutdown,"""github.com/zenazn/goji/graceful.shutdown""",6,197,8,1,0,30,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
/graceful/signal.go/init,"""github.com/zenazn/goji/graceful.init""",6,197,4,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/conn.go/ReadFrom,"""(*github.com/zenazn/goji/graceful/listener.conn).ReadFrom""",7,151,8,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/listener.go/Drain,"""(*github.com/zenazn/goji/graceful/listener.T).Drain""",7,170,5,0,1,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/cpool.go/makeCPool,"""github.com/zenazn/goji/web.makeCPool""",22,21,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mux.go/Options,"""(*github.com/zenazn/goji/web.Mux).Options""",22,213,7,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/bench_test.go/BenchmarkRoute5000,"""github.com/zenazn/goji/web.BenchmarkRoute5000""",22,164,18,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/recoverer.go/printPanic,"""github.com/zenazn/goji/web/middleware.printPanic""",15,44,10,2,0,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/signal.go/DoubleKickWindow,"""github.com/zenazn/goji/graceful.DoubleKickWindow""",6,197,16,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/graceful/listener/fake_test.go/String,"""(github.com/zenazn/goji/graceful/listener.fakeAddr).String""",7,123,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/web.go/ServeHTTPC,"""(github.com/zenazn/goji/web.HandlerFunc).ServeHTTPC""",22,102,10,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/bench_test.go/BenchmarkRoute5,"""github.com/zenazn/goji/web.BenchmarkRoute5""",22,164,15,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware_test.go/TestAbandon,"""github.com/zenazn/goji/web.TestAbandon""",22,204,11,1,0,31,24,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/shard.go/track,"""(*github.com/zenazn/goji/graceful/listener.shard).track""",7,98,5,1,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
/web/string_pattern.go/Prefix,"""(github.com/zenazn/goji/web.stringPattern).Prefix""",22,137,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/router_test.go/Run,"""(github.com/zenazn/goji/web.testPattern).Run""",22,326,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/nocache.go/NoCache,"""github.com/zenazn/goji/web/middleware.NoCache""",15,55,7,1,1,19,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/middleware/options.go/Write,"""(*github.com/zenazn/goji/web/middleware.autoOptionsProxy).Write""",15,97,5,1,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/mux.go/Insert,"""(*github.com/zenazn/goji/web.Mux).Insert""",22,213,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/graceful/listener/shard.go/init,"""(*github.com/zenazn/goji/graceful/listener.shard).init""",7,98,4,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/web/atomic.go/setMachine,"""(*github.com/zenazn/goji/web.router).setMachine""",22,16,10,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
